אצווה;пакет;ацва
אמת;истина;эмет
ביטוי;выражение;битуй
ביקורת;проверка;бикорет
בירור;выбор;бэрур
גוש;блок;гуш
גישה;доступ;гиша
גירסה;версия;гирса
רוח;отчет;дуах
הוראה;инструкция;hораа
הערה;комментарий;hеара
העתק;копия;hээтек
הפניה;ссылка;hафная
השוואה;сравнение;hашваа
חישוב;вычисление;хишув
טעות;ошибка;таут
לברור;выбирать;ливрор
להעתיק;копировать;леhаатик
מחזור;цикл;махзор
מאגר;буфер;маагар
מאורה;событие;меора
מונה;счетчик;монэ
מחשב;компьютер;махшев
מיון;сортировка;миюн
מסך;экран;масах
מעבד;процессор;меабед
מען;адрес;маан
מערך;массив;маарах
